Country,Region,Population,Under15,Over60,LifeExpectancy,ChildMortality,CellularSubscribers
Afghanistan,Eastern Mediterranean,29825,47.42,3.82,60,98.5,54.26
Albania,Europe,3162,21.33,14.93,74,16.7,96.39
Algeria,Africa,38482,27.42,7.17,73,20,98.99
Andorra,Europe,78,15.2,22.86,82,3.2,75.49
Angola,Africa,20821,47.58,3.84,51,163.5,48.38
Antigua and Barbuda,Americas,89,25.96,12.35,75,9.9,196.41
Argentina,Americas,41087,24.42,14.97,76,14.2,134.92
Armenia,Europe,2969,20.34,14.06,71,16.4,103.57
Australia,Western Pacific,23050,18.95,19.46,82,4.9,108.34
Austria,Europe,8464,14.51,23.52,81,4,154.78
Azerbaijan,Europe,9309,22.25,8.24,71,35.2,108.75
Bahamas,Americas,372,21.62,11.24,75,16.9,86.06
Bahrain,Eastern Mediterranean,1318,20.16,3.38,79,9.6,127.96
Bangladesh,South-East Asia,155000,30.57,6.89,70,40.9,56.06
Barbados,Americas,283,18.99,15.78,78,18.4,127.01
Belarus,Europe,9405,15.1,19.31,71,5.2,111.88
Belgium,Europe,11060,16.88,23.81,80,4.2,116.61
Belize,Americas,324,34.4,5.74,74,18.3,69.96
Benin,Africa,10051,42.95,4.54,57,89.5,85.33
Bhutan,South-East Asia,742,28.53,6.9,67,44.6,65.58
Bolivia (Plurinational State of),Americas,10496,35.23,7.28,67,41.4,82.82
Bosnia and Herzegovina,Europe,3834,16.35,20.52,76,6.7,84.52
Botswana,Africa,2004,33.75,5.63,66,53.3,142.82
Brazil,Americas,199000,24.56,10.81,74,14.4,124.26
Brunei Darussalam,Western Pacific,412,25.75,7.03,77,8,109.17
Bulgaria,Europe,7278,13.53,26.11,74,12.1,140.68
Burkina Faso,Africa,16460,45.66,3.88,56,102.4,45.27
Burundi,Africa,9850,44.2,3.87,53,104.3,22.33
Cambodia,Western Pacific,14865,31.23,7.67,65,39.7,96.17
Cameroon,Africa,21700,43.08,4.89,53,94.9,52.35
Canada,Americas,34838,16.37,20.82,82,5.3,79.73
Cape Verde,Africa,494,30.17,7.05,72,22.2,79.19
Central African Republic,Africa,4525,40.07,5.74,48,128.6,40.65
Chad,Africa,12448,48.52,3.8,51,149.8,31.8
Chile,Americas,17465,21.38,13.8,79,9.1,129.71
China,Western Pacific,1390000,17.95,13.42,76,14,73.19
Colombia,Americas,47704,28.03,9.19,78,17.6,98.45
Comoros,Africa,718,42.17,4.5,62,77.6,28.71
Congo,Africa,4337,42.37,5.13,58,96,93.84
Cook Islands,Western Pacific,21,30.61,9.07,77,10.6,
Costa Rica,Americas,4805,23.94,10.15,79,9.9,92.2
Ivory Coast,Africa,19840,41.48,5.1,56,107.6,86.06
Croatia,Europe,4307,14.98,24.69,77,4.7,116.37
Cuba,Americas,11271,16.58,17.95,78,5.5,11.69
Cyprus,Europe,1129,17.16,16.92,81,3.2,97.71
Czech Republic,Europe,10660,14.56,23.23,78,3.8,123.44
Democratic People's Republic of Korea,South-East Asia,24763,21.98,12.74,69,28.8,4.09
Democratic Republic of the Congo,Africa,65705,45.11,4.51,49,145.7,23.09
Denmark,Europe,5598,17.66,23.9,79,3.7,128.47
Djibouti,Eastern Mediterranean,860,33.72,5.96,58,80.9,21.32
Dominica,Americas,72,25.96,12.35,74,12.6,164.02
Dominican Republic,Americas,10277,30.53,8.97,73,27.1,87.22
Ecuador,Americas,15492,30.29,9.21,76,23.3,104.55
Egypt,Eastern Mediterranean,80722,31.25,8.62,73,21,101.08
